지역명,등록연도,등록대수
부산,2024,28445
부산,2024,6217
부산,2024,1627
부산,2024,147408
부산,2024,36058
부산,2024,155
부산,2024,3148
부산,2024,9043
부산,2024,1813
부산,2024,1179091
부산,2024,130625
부산,2024,1276
부산,2024,28378
부산,2024,6221
부산,2024,1625
부산,2024,147345
부산,2024,36077
부산,2024,154
부산,2024,3172
부산,2024,9045
부산,2024,1817
부산,2024,1179982
부산,2024,132135
부산,2024,1284
부산,2024,28269
부산,2024,6233
부산,2024,1619
부산,2024,147090
부산,2024,36080
부산,2024,155
부산,2024,3193
부산,2024,9053
부산,2024,1820
부산,2024,1182311
부산,2024,133891
부산,2024,1287
부산,2024,28192
부산,2024,6237
부산,2024,1610
부산,2024,146906
부산,2024,36116
부산,2024,155
부산,2024,3194
부산,2024,9073
부산,2024,1839
부산,2024,1183768
부산,2024,135115
부산,2024,1296
부산,2024,28105
부산,2024,6251
부산,2024,1603
부산,2024,146630
부산,2024,36170
부산,2024,153
부산,2024,3225
부산,2024,9078
부산,2024,1835
부산,2024,1185961
부산,2024,136214
부산,2024,1294
부산,2024,27983
부산,2024,6243
부산,2024,1597
부산,2024,146461
부산,2024,36212
부산,2024,153
부산,2024,3245
부산,2024,9089
부산,2024,1840
부산,2024,1187450
부산,2024,137982
부산,2024,1289
부산,2024,27926
부산,2024,6251
부산,2024,1600
부산,2024,146290
부산,2024,36217
부산,2024,153
부산,2024,3255
부산,2024,9057
대구,2024,1076
대구,2024,1034493
대구,2024,29086
대구,2024,1039
대구,2024,22328
대구,2024,3910
대구,2024,1470
대구,2024,139832
대구,2024,20825
대구,2024,155
대구,2024,2772
대구,2024,2191
대구,2024,1088
대구,2024,1034742
대구,2024,29043
대구,2024,1041
대구,2024,22273
대구,2024,3901
대구,2024,1469
대구,2024,139829
대구,2024,20845
대구,2024,156
대구,2024,2791
대구,2024,2194
대구,2024,1117
대구,2024,1034818
대구,2024,29097
대구,2024,1040
대구,2024,22188
대구,2024,3900
대구,2024,1474
대구,2024,139933
대구,2024,20834
대구,2024,157
대구,2024,2808
대구,2024,2197
대구,2024,1093
대구,2024,1034088
대구,2024,29154
대구,2024,1004
대구,2024,22004
대구,2024,3908
대구,2024,1471
대구,2024,139405
대구,2024,20833
대구,2024,157
대구,2024,2837
대구,2024,2208
대구,2024,1087
대구,2024,1034050
대구,2024,29319
대구,2024,1005
대구,2024,21852
대구,2024,3904
대구,2024,1463
대구,2024,139245
대구,2024,20817
대구,2024,157
대구,2024,2841
대구,2024,2205
대구,2024,1094
대구,2024,1035333
대구,2024,29708
대구,2024,1025
대구,2024,21771
대구,2024,3907
대구,2024,1463
대구,2024,139407
대구,2024,20784
대구,2024,155
대구,2024,2861
대구,2024,2217
대구,2024,1107
대구,2024,1035150
대구,2024,29981
대구,2024,1027
대구,2024,21714
대구,2024,3905
대구,2024,1463
대구,2024,139288
대구,2024,20801
대구,2024,153
대구,2024,2869
대구,2024,2205
대구,2024,1105
대구,2024,1034714
대구,2024,30064
대구,2024,1024
대구,2024,21659
대구,2024,3903
대구,2024,1460
대구,2024,139085
대구,2024,20796
대구,2024,153
대구,2024,2882
대구,2024,2199
대구,2024,1102
대구,2024,1035028
대구,2024,30222
대구,2024,1028
대구,2024,21578
대구,2024,3900
대구,2024,1464
대구,2024,138971
대구,2024,20801
대구,2024,156
대구,2024,2921
대구,2024,2207
대구,2024,1077
대구,2024,1035579
대구,2024,30391
대구,2024,1030
대구,2024,21519
대구,2024,3919
대구,2024,1463
대구,2024,138795
대구,2024,20809
대구,2024,155
대구,2024,2936
대구,2024,2203
대구,2024,1071
대구,2024,1037901
대구,2024,30406
대구,2024,1021
대구,2024,21494
대구,2024,3921
대구,2024,1464
대구,2024,138710
대구,2024,20816
대구,2024,154
대구,2024,2949
대구,2024,2205
대구,2024,1071
대구,2024,1038535
대구,2024,30480
대구,2024,1022
대구,2024,21425
대구,2024,3902
대구,2024,1469
대구,2024,138562
대구,2024,20804
대구,2024,156
대구,2024,2970
대구,2024,2208
인천,2024,1708
인천,2024,1252764
인천,2024,227061
인천,2024,1178
인천,2024,31498
인천,2024,7141
인천,2024,1363
인천,2024,166248
인천,2024,35330
인천,2024,142
인천,2024,3727
인천,2024,5426
인천,2024,1759
인천,2024,1255546
인천,2024,225886
인천,2024,1168
인천,2024,31456
인천,2024,7147
인천,2024,1369
인천,2024,166387
인천,2024,35326
인천,2024,143
인천,2024,3751
인천,2024,5412
인천,2024,1734
인천,2024,1257959
인천,2024,225977
인천,2024,1161
인천,2024,31077
인천,2024,7129
인천,2024,1366
인천,2024,165718
인천,2024,35328
인천,2024,144
인천,2024,3784
인천,2024,5407
인천,2024,1748
인천,2024,1259819
인천,2024,225931
인천,2024,1155
인천,2024,30801
인천,2024,7145
인천,2024,1368
인천,2024,165480
인천,2024,35323
인천,2024,143
인천,2024,3812
인천,2024,5400
인천,2024,1737
인천,2024,1261557
인천,2024,228037
인천,2024,1154
인천,2024,30643
인천,2024,7191
인천,2024,1371
인천,2024,165700
인천,2024,35293
인천,2024,143
인천,2024,3849
인천,2024,5403
인천,2024,1721
인천,2024,1264096
인천,2024,227123
인천,2024,1150
인천,2024,30558
인천,2024,7205
인천,2024,1371
인천,2024,165831
인천,2024,35348
인천,2024,142
인천,2024,3871
인천,2024,5405
인천,2024,1735
인천,2024,1266681
인천,2024,226155
인천,2024,1155
인천,2024,30470
인천,2024,7170
인천,2024,1370
인천,2024,165748
인천,2024,35352
인천,2024,141
인천,2024,3910
인천,2024,5411
인천,2024,1718
인천,2024,1266080
인천,2024,226029
인천,2024,1169
인천,2024,30170
인천,2024,7218
인천,2024,1373
인천,2024,164908
인천,2024,35367
인천,2024,142
인천,2024,3946
인천,2024,5396
인천,2024,1716
인천,2024,1268112
인천,2024,225706
인천,2024,1166
인천,2024,30056
인천,2024,7277
인천,2024,1376
인천,2024,164736
인천,2024,35385
인천,2024,143
인천,2024,3931
인천,2024,5395
인천,2024,1719
인천,2024,1270165
인천,2024,227072
인천,2024,1222
인천,2024,30035
인천,2024,7360
인천,2024,1386
인천,2024,164675
인천,2024,35413
인천,2024,147
인천,2024,3915
인천,2024,5395
인천,2024,1710
인천,2024,1273129
인천,2024,226317
인천,2024,1208
인천,2024,29986
인천,2024,7407
인천,2024,1384
인천,2024,164241
인천,2024,35430
인천,2024,153
인천,2024,3939
인천,2024,5395
인천,2024,1694
인천,2024,1275199
인천,2024,222030
인천,2024,1201
인천,2024,29862
인천,2024,7382
인천,2024,1379
인천,2024,164166
인천,2024,35519
인천,2024,152
인천,2024,3942
인천,2024,5401
광주,2024,891
광주,2024,594894
광주,2024,13938
광주,2024,608
광주,2024,14315
광주,2024,2303
광주,2024,844
광주,2024,78023
광주,2024,14678
광주,2024,89
광주,2024,2008
광주,2024,1917
광주,2024,965
광주,2024,595519
광주,2024,13841
광주,2024,604
광주,2024,14271
광주,2024,2295
광주,2024,842
광주,2024,78084
광주,2024,14666
광주,2024,88
광주,2024,2012
광주,2024,1926
광주,2024,944
광주,2024,596730
광주,2024,13887
광주,2024,603
광주,2024,14262
광주,2024,2282
광주,2024,839
광주,2024,78162
광주,2024,14777
광주,2024,88
광주,2024,2018
광주,2024,1922
광주,2024,906
광주,2024,596895
광주,2024,13824
광주,2024,603
광주,2024,14132
광주,2024,2291
광주,2024,844
광주,2024,77831
광주,2024,14791
광주,2024,88
광주,2024,2010
광주,2024,1925
광주,2024,907
광주,2024,597643
광주,2024,13847
광주,2024,602
광주,2024,14007
광주,2024,2291
광주,2024,841
광주,2024,77527
광주,2024,14803
광주,2024,89
광주,2024,2026
광주,2024,1932
광주,2024,893
광주,2024,598600
광주,2024,13929
광주,2024,604
광주,2024,13972
광주,2024,2291
광주,2024,840
광주,2024,77583
광주,2024,14768
광주,2024,89
광주,2024,2040
광주,2024,1940
광주,2024,916
광주,2024,599209
광주,2024,13876
광주,2024,604
광주,2024,13924
광주,2024,2295
광주,2024,846
광주,2024,77651
광주,2024,14765
광주,2024,89
광주,2024,2051
광주,2024,1938
광주,2024,903
광주,2024,599244
광주,2024,13903
광주,2024,605
광주,2024,13869
광주,2024,2297
광주,2024,847
광주,2024,77563
광주,2024,14780
광주,2024,90
광주,2024,2050
광주,2024,1937
광주,2024,905
광주,2024,599995
광주,2024,13853
광주,2024,610
광주,2024,13842
광주,2024,2297
광주,2024,843
광주,2024,77558
광주,2024,14758
광주,2024,90
광주,2024,2055
광주,2024,1939
광주,2024,905
광주,2024,600510
광주,2024,13884
광주,2024,601
광주,2024,13762
광주,2024,2296
광주,2024,842
광주,2024,77508
광주,2024,14770
광주,2024,90
광주,2024,2069
광주,2024,1946
광주,2024,903
광주,2024,601551
광주,2024,13858
광주,2024,601
광주,2024,13702
광주,2024,2299
광주,2024,843
광주,2024,77527
광주,2024,14773
광주,2024,90
광주,2024,2113
광주,2024,1949
광주,2024,910
광주,2024,602377
광주,2024,13779
광주,2024,602
광주,2024,13686
광주,2024,2288
광주,2024,843
광주,2024,77347
광주,2024,14782
광주,2024,95
광주,2024,2102
광주,2024,1940
