지역명,등록연도,등록대수
서울,2024,4698
서울,2024,2653110
서울,2024,118934
서울,2024,3800
서울,2024,72085
서울,2024,14859
서울,2024,3925
서울,2024,247784
서울,2024,60500
서울,2024,433
서울,2024,5732
서울,2024,5244
서울,2024,4691
서울,2024,2653703
서울,2024,117930
서울,2024,3794
서울,2024,71854
서울,2024,14881
서울,2024,3909
서울,2024,247777
서울,2024,60419
서울,2024,427
서울,2024,5756
서울,2024,5217
서울,2024,4701
서울,2024,2653386
서울,2024,117299
서울,2024,3795
서울,2024,71231
서울,2024,14861
서울,2024,3900
서울,2024,246878
서울,2024,60271
서울,2024,426
서울,2024,5788
서울,2024,5240
서울,2024,4710
서울,2024,2653557
서울,2024,116787
서울,2024,3782
서울,2024,70840
서울,2024,14879
서울,2024,3916
서울,2024,246414
서울,2024,60146
서울,2024,423
서울,2024,5784
서울,2024,5232
서울,2024,4749
서울,2024,2654631
서울,2024,116291
서울,2024,3784
서울,2024,70385
서울,2024,14901
서울,2024,3924
서울,2024,246014
서울,2024,60061
서울,2024,423
서울,2024,5830
서울,2024,5226
서울,2024,4684
서울,2024,2655368
서울,2024,117369
서울,2024,3790
서울,2024,69960
서울,2024,14870
서울,2024,3920
서울,2024,245490
서울,2024,60076
서울,2024,424
서울,2024,5864
서울,2024,5240
서울,2024,4742
서울,2024,2654961
서울,2024,117223
서울,2024,3801
서울,2024,69262
서울,2024,14795
서울,2024,3929
서울,2024,244448
서울,2024,60021
서울,2024,424
서울,2024,5901
서울,2024,5236
서울,2024,4749
서울,2024,2653548
서울,2024,117206
서울,2024,3811
서울,2024,68798
서울,2024,14777
서울,2024,3939
서울,2024,243917
서울,2024,59932
서울,2024,424
서울,2024,5923
서울,2024,5241
서울,2024,4742
서울,2024,2654744
서울,2024,116751
서울,2024,3798
서울,2024,68326
서울,2024,14750
서울,2024,3932
서울,2024,243393
서울,2024,59873
서울,2024,422
서울,2024,5954
서울,2024,5242
서울,2024,4733
서울,2024,2654588
서울,2024,114320
서울,2024,3747
서울,2024,67859
서울,2024,14699
서울,2024,3926
서울,2024,242591
서울,2024,59836
서울,2024,417
서울,2024,5941
서울,2024,5207
서울,2024,4726
서울,2024,2656050
서울,2024,113671
서울,2024,3746
서울,2024,67447
서울,2024,14729
서울,2024,3913
서울,2024,241697
서울,2024,59858
서울,2024,429
서울,2024,5968
서울,2024,5193
서울,2024,4730
서울,2024,2656854
서울,2024,113221
서울,2024,3741
서울,2024,67085
서울,2024,14703
서울,2024,3907
서울,2024,241262
서울,2024,59831
서울,2024,433
서울,2024,5988
서울,2024,5178
부산,2024,1822
부산,2024,1169380
부산,2024,123397
부산,2024,1287
부산,2024,29143
부산,2024,6208
부산,2024,1615
부산,2024,148489
부산,2024,36179
부산,2024,157
부산,2024,3126
부산,2024,9027
부산,2024,1853
부산,2024,1170096
부산,2024,124031
부산,2024,1287
부산,2024,29050
부산,2024,6215
부산,2024,1613
부산,2024,148372
부산,2024,36144
부산,2024,157
부산,2024,3150
부산,2024,9038
부산,2024,1869
부산,2024,1171982
부산,2024,124989
부산,2024,1284
부산,2024,28864
부산,2024,6217
부산,2024,1614
부산,2024,148073
부산,2024,36168
부산,2024,157
부산,2024,3126
부산,2024,9027
부산,2024,1868
부산,2024,1173644
부산,2024,126336
부산,2024,1283
부산,2024,28674
부산,2024,6236
부산,2024,1629
부산,2024,147743
부산,2024,36149
부산,2024,157
부산,2024,3122
부산,2024,9030
부산,2024,1851
부산,2024,1175654
부산,2024,127747
부산,2024,1277
부산,2024,28560
부산,2024,6220
부산,2024,1626
부산,2024,147532
부산,2024,36077
부산,2024,157
부산,2024,3135
부산,2024,9025
부산,2024,1847
부산,2024,1177893
부산,2024,129082
부산,2024,1275
