"구분(1)","시점","레벨01(1)","항목",데이터
"총합계","2015","승용","계",16561665
"총합계","2015","승용","관용",27004
"총합계","2015","승용","자가용",15807517
"총합계","2015","승용","영업용",727144
"총합계","2015","승합","계",920320
"총합계","2015","승합","관용",19079
"총합계","2015","승합","자가용",776127
"총합계","2015","승합","영업용",125114
"총합계","2015","화물","계",3432937
"총합계","2015","화물","관용",29052
"총합계","2015","화물","자가용",3020822
"총합계","2015","화물","영업용",383063
"총합계","2015","특수","계",74963
"총합계","2015","특수","관용",2422
"총합계","2015","특수","자가용",18103
"총합계","2015","특수","영업용",54438
"총합계","2015","총계","계",20989885
"총합계","2015","총계","관용",77557
"총합계","2015","총계","자가용",19622569
"총합계","2015","총계","영업용",1289759
"총합계","2016","승용","계",17338160
"총합계","2016","승용","관용",27750
"총합계","2016","승용","자가용",16505364
"총합계","2016","승용","영업용",805046
"총합계","2016","승합","계",892539
"총합계","2016","승합","관용",20260
"총합계","2016","승합","자가용",746360
"총합계","2016","승합","영업용",125919
"총합계","2016","화물","계",3492173
"총합계","2016","화물","관용",29834
"총합계","2016","화물","자가용",3072915
"총합계","2016","화물","영업용",389424
"총합계","2016","특수","계",80479
"총합계","2016","특수","관용",2532
"총합계","2016","특수","자가용",20670
"총합계","2016","특수","영업용",57277
"총합계","2016","총계","계",21803351
"총합계","2016","총계","관용",80376
"총합계","2016","총계","자가용",20345309
"총합계","2016","총계","영업용",1377666
"총합계","2017","승용","계",18034540
"총합계","2017","승용","관용",30705
"총합계","2017","승용","자가용",17121786
"총합계","2017","승용","영업용",882049
"총합계","2017","승합","계",867522
"총합계","2017","승합","관용",21556
"총합계","2017","승합","자가용",720188
"총합계","2017","승합","영업용",125778
"총합계","2017","화물","계",3540323
"총합계","2017","화물","관용",30813
"총합계","2017","화물","자가용",3118342
"총합계","2017","화물","영업용",391168
"총합계","2017","특수","계",85910
"총합계","2017","특수","관용",2687
"총합계","2017","특수","자가용",23942
"총합계","2017","특수","영업용",59281
"총합계","2017","총계","계",22528295
"총합계","2017","총계","관용",85761
"총합계","2017","총계","자가용",20984258
"총합계","2017","총계","영업용",1458276
"총합계","2018","승용","계",18676924
"총합계","2018","승용","관용",32819
"총합계","2018","승용","자가용",17663188
"총합계","2018","승용","영업용",980917
"총합계","2018","승합","계",843794
"총합계","2018","승합","관용",22540
"총합계","2018","승합","자가용",696898
"총합계","2018","승합","영업용",124356
"총합계","2018","화물","계",3590939
"총합계","2018","화물","관용",31957
"총합계","2018","화물","자가용",3152275
"총합계","2018","화물","영업용",406707
"총합계","2018","특수","계",90898
"총합계","2018","특수","관용",2784
"총합계","2018","특수","자가용",27212
"총합계","2018","특수","영업용",60902
"총합계","2018","총계","계",23202555
"총합계","2018","총계","관용",90100
"총합계","2018","총계","자가용",21539573
"총합계","2018","총계","영업용",1572882
"총합계","2019","승용","계",19177517
"총합계","2019","승용","관용",33344
"총합계","2019","승용","자가용",18071723
"총합계","2019","승용","영업용",1072450
"총합계","2019","승합","계",811799
"총합계","2019","승합","관용",23014
"총합계","2019","승합","자가용",663494
"총합계","2019","승합","영업용",125291
"총합계","2019","화물","계",3592586
"총합계","2019","화물","관용",33072
"총합계","2019","화물","자가용",3143102
"총합계","2019","화물","영업용",416412
"총합계","2019","특수","계",95464
"총합계","2019","특수","관용",2867
"총합계","2019","특수","자가용",30043
"총합계","2019","특수","영업용",62554
"총합계","2019","총계","계",23677366
"총합계","2019","총계","관용",92297
"총합계","2019","총계","자가용",21908362
"총합계","2019","총계","영업용",1676707
"총합계","2020","승용","계",19860955
"총합계","2020","승용","관용",33619
"총합계","2020","승용","자가용",18686570
"총합계","2020","승용","영업용",1140766
"총합계","2020","승합","계",783842
"총합계","2020","승합","관용",23938
"총합계","2020","승합","자가용",639504
"총합계","2020","승합","영업용",120400
"총합계","2020","화물","계",3615245
"총합계","2020","화물","관용",33391
"총합계","2020","화물","자가용",3156602
"총합계","2020","화물","영업용",425252
"총합계","2020","특수","계",105937
"총합계","2020","특수","관용",3009
"총합계","2020","특수","자가용",39010
"총합계","2020","특수","영업용",63918
"총합계","2020","총계","계",24365979
"총합계","2020","총계","관용",93957
"총합계","2020","총계","자가용",22521686
"총합계","2020","총계","영업용",1750336
"총합계","2021","승용","계",20410648
"총합계","2021","승용","관용",34548
"총합계","2021","승용","자가용",19168262
"총합계","2021","승용","영업용",1207838
"총합계","2021","승합","계",749968
"총합계","2021","승합","관용",24460
"총합계","2021","승합","자가용",608894
"총합계","2021","승합","영업용",116614
"총합계","2021","화물","계",3631975
"총합계","2021","화물","관용",33800
"총합계","2021","화물","자가용",3159844
"총합계","2021","화물","영업용",438331
"총합계","2021","특수","계",118510
"총합계","2021","특수","관용",3141
"총합계","2021","특수","자가용",49733
"총합계","2021","특수","영업용",65636
"총합계","2021","총계","계",24911101
"총합계","2021","총계","관용",95949
"총합계","2021","총계","자가용",22986733
"총합계","2021","총계","영업용",1828419
"총합계","2022","승용","계",20952759
"총합계","2022","승용","관용",35071
"총합계","2022","승용","자가용",19647975
"총합계","2022","승용","영업용",1269713
"총합계","2022","승합","계",723961
"총합계","2022","승합","관용",24755
"총합계","2022","승합","자가용",583625
"총합계","2022","승합","영업용",115581
"총합계","2022","화물","계",3696317
"총합계","2022","화물","관용",34587
"총합계","2022","화물","자가용",3211121
"총합계","2022","화물","영업용",450609
"총합계","2022","특수","계",130041
"총합계","2022","특수","관용",3441
"총합계","2022","특수","자가용",59623
"총합계","2022","특수","영업용",66977
"총합계","2022","총계","계",25503078
"총합계","2022","총계","관용",97854
"총합계","2022","총계","자가용",23502344
"총합계","2022","총계","영업용",1902880
"총합계","2023","승용","계",21390202
"총합계","2023","승용","관용",35481
"총합계","2023","승용","자가용",20079294
"총합계","2023","승용","영업용",1275427
"총합계","2023","승합","계",694574
"총합계","2023","승합","관용",25009
"총합계","2023","승합","자가용",555119
"총합계","2023","승합","영업용",114446
"총합계","2023","화물","계",3726400
"총합계","2023","화물","관용",35318
"총합계","2023","화물","자가용",3225194
"총합계","2023","화물","영업용",465888
"총합계","2023","특수","계",138025
"총합계","2023","특수","관용",3702
"총합계","2023","특수","자가용",66655
"총합계","2023","특수","영업용",67668
"총합계","2023","총계","계",25949201
"총합계","2023","총계","관용",99510
