"구분(1)","시점","레벨01(1)","항목",데이터
"총합계","2023","총계","자가용",23926262
"총합계","2023","총계","영업용",1923429
"총합계","2024","승용","계",21771120
"총합계","2024","승용","관용",36466
"총합계","2024","승용","자가용",20425766
"총합계","2024","승용","영업용",1308888
"총합계","2024","승합","계",666166
"총합계","2024","승합","관용",24862
"총합계","2024","승합","자가용",527105
"총합계","2024","승합","영업용",114199
"총합계","2024","화물","계",3716743
"총합계","2024","화물","관용",35531
"총합계","2024","화물","자가용",3211951
"총합계","2024","화물","영업용",469261
"총합계","2024","특수","계",143890
"총합계","2024","특수","관용",3876
"총합계","2024","특수","자가용",71804
"총합계","2024","특수","영업용",68210
"총합계","2024","총계","계",26297919
"총합계","2024","총계","관용",100735
"총합계","2024","총계","자가용",24236626
"총합계","2024","총계","영업용",1960558
